fedstat_name,canonical_region,region_type,action,use_in_subject_panel,federal_district,capital_city,capital_lat,capital_lon,region_code,note
Еврейская автономная область,Еврейская автономная область,subject,keep,yes,Дальневосточный федеральный округ,Биробиджан,48.7948,132.9237,YEV,совпало со справочником
Забайкальский край,Забайкальский край,subject,keep,yes,Дальневосточный федеральный округ,Чита,52.0307,113.5006,ZAB,совпало со справочником
Западно-Сибирский экономический район,,economic_region,exclude_aggregate,no,,,,,,"экономический район, не субъект РФ"
Ивановская область,Ивановская область,subject,keep,yes,Центральный федеральный округ,Иваново,57.0006,40.9745,IVA,совпало со справочником
Иркутская область,Иркутская область,subject,keep,yes,Сибирский федеральный округ,Иркутск,52.2978,104.2807,IRK,совпало со справочником
Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,subject,keep,yes,Северо-Кавказский федеральный округ,Нальчик,43.4946,43.6155,KB,совпало со справочником
Калининградская область,Калининградская область,subject,keep,yes,Северо-Западный федеральный округ,Калининград,54.7104,20.5114,KGD,совпало со справочником
Калужская область,Калужская область,subject,keep,yes,Центральный федеральный округ,Калуга,54.5293,36.2754,KLU,совпало со справочником
Камчатский край,Камчатский край,subject,keep,yes,Дальневосточный федеральный округ,Петропавловск-Камчатский,53.0382,158.6505,KAM,совпало со справочником
Карачаево-Черкесская Республика,Карачаево-Черкесская Республика,subject,keep,yes,Северо-Кавказский федеральный округ,Черкесск,44.2236,42.0568,KC,совпало со справочником
Кемеровская область - Кузбасс,Кемеровская область,subject_name_variant,map_to_canonical,yes,Сибирский федеральный округ,Кемерово,55.3547,86.0871,KEM,вариант имени Fedstat
Кировская область,Кировская область,subject,keep,yes,Приволжский федеральный округ,Киров,58.6035,49.6601,KIR,совпало со справочником
"Коми-Пермяцкий округ, входящий в состав Пермского края",,historical_subregion,exclude_historical_subregion,no,,,,,,исторический округ внутри Пермского края
"Корякский округ, входящий в состав Камчатского края",,historical_subregion,exclude_historical_subregion,no,,,,,,исторический округ внутри Камчатского края
Костромская область,Костромская область,subject,keep,yes,Центральный федеральный округ,Кострома,57.7681,40.9269,KOS,совпало со справочником
Краснодарский край,Краснодарский край,subject,keep,yes,Южный федеральный округ,Краснодар,45.0355,38.975,KDA,совпало со справочником
Красноярский край,Красноярский край,subject,keep,yes,Сибирский федеральный округ,Красноярск,56.0153,92.8932,KYA,совпало со справочником
Курганская область,Курганская область,subject,keep,yes,Уральский федеральный округ,Курган,55.4413,65.3334,KGN,совпало со справочником
Курская область,Курская область,subject,keep,yes,Центральный федеральный округ,Курск,51.7304,36.1873,KRS,совпало со справочником
Ленинградская область,Ленинградская область,subject,keep,yes,Северо-Западный федеральный округ,Гатчина,59.5704,30.1281,LEN,совпало со справочником
Липецкая область,Липецкая область,subject,keep,yes,Центральный федеральный округ,Липецк,52.6088,39.5708,LIP,совпало со справочником
Магаданская область,Магаданская область,subject,keep,yes,Дальневосточный федеральный округ,Магадан,59.5638,150.808,MAG,совпало со справочником
Московская область,Московская область,subject,keep,yes,Центральный федеральный округ,Красногорск,55.8312,37.3299,MOS,совпало со справочником
Мурманская область,Мурманская область,subject,keep,yes,Северо-Западный федеральный округ,Мурманск,68.9585,33.0826,MUR,совпало со справочником
Ненецкий автономный округ (Архангельская область),Ненецкий автономный округ,subject_name_variant,map_to_canonical,yes,Северо-Западный федеральный округ,Нарьян-Мар,67.6383,53.0084,NEN,вариант имени Fedstat
Нижегородская область,Нижегородская область,subject,keep,yes,Приволжский федеральный округ,Нижний Новгород,56.3287,43.9648,NIZ,совпало со справочником
Новгородская область,Новгородская область,subject,keep,yes,Северо-Западный федеральный округ,Великий Новгород,58.5256,31.275,NGR,совпало со справочником
Новосибирская область,Новосибирская область,subject,keep,yes,Сибирский федеральный округ,Новосибирск,55.0084,82.9357,NVS,совпало со справочником
Омская область,Омская область,subject,keep,yes,Сибирский федеральный округ,Омск,54.9893,73.3686,OMS,совпало со справочником
Оренбургская область,Оренбургская область,subject,keep,yes,Приволжский федеральный округ,Оренбург,51.7682,55.0982,ORE,совпало со справочником
Орловская область,Орловская область,subject,keep,yes,Центральный федеральный округ,Орёл,52.9685,36.0626,ORL,совпало со справочником
Пензенская область,Пензенская область,subject,keep,yes,Приволжский федеральный округ,Пенза,53.1959,45.0046,PNZ,совпало со справочником
Пермский край,Пермский край,subject,keep,yes,Приволжский федеральный округ,Пермь,58.0105,56.2502,PER,совпало со справочником
Поволжский экономический район,,economic_region,exclude_aggregate,no,,,,,,"экономический район, не субъект РФ"
Приморский край,Приморский край,subject,keep,yes,Дальневосточный федеральный округ,Владивосток,43.1155,131.8859,PRI,совпало со справочником
Псковская область,Псковская область,subject,keep,yes,Северо-Западный федеральный округ,Псков,57.8136,28.3569,PSK,совпало со справочником
Республика Адыгея (Адыгея),Республика Адыгея,subject_name_variant,map_to_canonical,yes,Южный федеральный округ,Майкоп,44.6098,40.1006,AD,вариант имени Fedstat
Республика Алтай,Республика Алтай,subject,keep,yes,Сибирский федеральный округ,Горно-Алтайск,51.9587,85.9601,AL,совпало со справочником
Республика Башкортостан,Республика Башкортостан,subject,keep,yes,Приволжский федеральный округ,Уфа,54.7388,55.9587,BA,совпало со справочником
Республика Бурятия,Республика Бурятия,subject,keep,yes,Дальневосточный федеральный округ,Улан-Удэ,51.8335,107.6,BU,совпало со справочником
Республика Дагестан,Республика Дагестан,subject,keep,yes,Северо-Кавказский федеральный округ,Махачкала,42.9849,47.5047,DA,совпало со справочником
Республика Ингушетия,Республика Ингушетия,subject,keep,yes,Северо-Кавказский федеральный округ,Магас,43.1681,44.8133,IN,совпало со справочником
Республика Калмыкия,Республика Калмыкия,subject,keep,yes,Южный федеральный округ,Элиста,46.3081,44.2558,KL,совпало со справочником
Республика Карелия,Республика Карелия,subject,keep,yes,Северо-Западный федеральный округ,Петрозаводск,61.789,34.3641,KR,совпало со справочником
Республика Коми,Республика Коми,subject,keep,yes,Северо-Западный федеральный округ,Сыктывкар,61.6688,50.8088,KO,совпало со справочником
Республика Крым,Республика Крым,subject,keep,yes,Южный федеральный округ,Симферополь,44.9524,34.1024,CR,совпало со справочником
Республика Марий Эл,Республика Марий Эл,subject,keep,yes,Приволжский федеральный округ,Йошкар-Ола,56.6388,47.8908,ME,совпало со справочником
Республика Мордовия,Республика Мордовия,subject,keep,yes,Приволжский федеральный округ,Саранск,54.1838,45.18,MO,совпало со справочником
Республика Саха (Якутия),Республика Саха (Якутия),subject,keep,yes,Дальневосточный федеральный округ,Якутск,62.0281,129.7331,SA,совпало со справочником
Республика Северная Осетия-Алания,Республика Северная Осетия - Алания,subject_name_variant,map_to_canonical,yes,Северо-Кавказский федеральный округ,Владикавказ,43.0245,44.6818,SE,вариант имени Fedstat
Республика Татарстан (Татарстан),Республика Татарстан,subject_name_variant,map_to_canonical,yes,Приволжский федеральный округ,Казань,55.7963,49.1064,TA,вариант имени Fedstat
Республика Тыва,Республика Тыва,subject,keep,yes,Сибирский федеральный округ,Кызыл,51.7191,94.4528,TY,совпало со справочником
Республика Хакасия,Республика Хакасия,subject,keep,yes,Сибирский федеральный округ,Абакан,53.7223,91.4292,KK,совпало со справочником
Ростовская область,Ростовская область,subject,keep,yes,Южный федеральный округ,Ростов-на-Дону,47.2225,39.7015,ROS,совпало со справочником
Рязанская область,Рязанская область,subject,keep,yes,Центральный федеральный округ,Рязань,54.6269,39.7126,RYA,совпало со справочником
Самарская область,Самарская область,subject,keep,yes,Приволжский федеральный округ,Самара,53.1959,50.1606,SAM,совпало со справочником
Саратовская область,Саратовская область,subject,keep,yes,Приволжский федеральный округ,Саратов,51.5331,46.0342,SAR,совпало со справочником
Сахалинская область,Сахалинская область,subject,keep,yes,Дальневосточный федеральный округ,Южно-Сахалинск,46.9588,142.7378,SAK,совпало со справочником
Свердловская область,Свердловская область,subject,keep,yes,Уральский федеральный округ,Екатеринбург,56.8389,60.6122,SVE,совпало со справочником
Северный экономический район,,economic_region,exclude_aggregate,no,,,,,,"экономический район, не субъект РФ"
Северо-Западный экономический район,,economic_region,exclude_aggregate,no,,,,,,"экономический район, не субъект РФ"
Северо-Кавказский экономический район,,economic_region,exclude_aggregate,no,,,,,,"экономический район, не субъект РФ"
Смоленская область,Смоленская область,subject,keep,yes,Центральный федеральный округ,Смоленск,54.7826,32.0453,SMO,совпало со справочником
Ставропольский край,Ставропольский край,subject,keep,yes,Северо-Кавказский федеральный округ,Ставрополь,45.0428,41.9734,STA,совпало со справочником
Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край),,historical_subregion,exclude_historical_subregion,no,,,,,,исторический округ внутри Красноярского края
Тамбовская область,Тамбовская область,subject,keep,yes,Центральный федеральный округ,Тамбов,52.7212,41.4523,TAM,совпало со справочником
Тверская область,Тверская область,subject,keep,yes,Центральный федеральный округ,Тверь,56.8587,35.9176,TVE,совпало со справочником
Томская область,Томская область,subject,keep,yes,Сибирский федеральный округ,Томск,56.4847,84.9482,TOM,совпало со справочником
Тульская область,Тульская область,subject,keep,yes,Центральный федеральный округ,Тула,54.1931,37.6173,TUL,совпало со справочником
Тюменская область,Тюменская область,subject,keep,yes,Уральский федеральный округ,Тюмень,57.1522,65.5343,TYU,совпало со справочником
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),,partial_parent_region,exclude_partial_region,no,,,,,,"часть субъекта, не полный регион"
Удмуртская Республика,Удмуртская Республика,subject,keep,yes,Приволжский федеральный округ,Ижевск,56.8527,53.2114,UD,совпало со справочником
Ульяновская область,Ульяновская область,subject,keep,yes,Приволжский федеральный округ,Ульяновск,54.3142,48.4001,ULY,совпало со справочником
Уральский экономический район,,economic_region,exclude_aggregate,no,,,,,,"экономический район, не субъект РФ"
Усть-Ордынский Бурятский округ,,historical_subregion,exclude_historical_subregion,no,,,,,,исторический округ внутри Иркутской области
Хабаровский край,Хабаровский край,subject,keep,yes,Дальневосточный федеральный округ,Хабаровск,48.4827,135.0721,KHA,совпало со справочником
Ханты-Мансийский автономный округ - Югра (Тюменская область),Ханты-Мансийский автономный округ - Югра,subject_name_variant,map_to_canonical,yes,Уральский федеральный округ,Ханты-Мансийск,61.0042,69.0019,KHM,вариант имени Fedstat
Центрально-Черноземный экономический район,,economic_region,exclude_aggregate,no,,,,,,"экономический район, не субъект РФ"
Центральный экономический район,,economic_region,exclude_aggregate,no,,,,,,"экономический район, не субъект РФ"
Челябинская область,Челябинская область,subject,keep,yes,Уральский федеральный округ,Челябинск,55.1644,61.4022,CHE,совпало со справочником
Чеченская Республика,Чеченская Республика,subject,keep,yes,Северо-Кавказский федеральный округ,Грозный,43.3179,45.6981,CE,совпало со справочником
Чувашская Республика - Чувашия,Чувашская Республика,subject_name_variant,map_to_canonical,yes,Приволжский федеральный округ,Чебоксары,56.1322,47.2486,CU,вариант имени Fedstat
Чукотский автономный округ,Чукотский автономный округ,subject,keep,yes,Дальневосточный федеральный округ,Анадырь,64.73,177.51,,совпало со справочником
Эвенкийский автономный округ (Красноярский край),,historical_subregion,exclude_historical_subregion,no,,,,,,исторический округ внутри Красноярского края
Ямало-Ненецкий автономный округ (Тюменская область),Ямало-Ненецкий автономный округ,subject_name_variant,map_to_canonical,yes,Уральский федеральный округ,Салехард,66.5302,66.5965,YAN,вариант имени Fedstat
Ярославская область,Ярославская область,subject,keep,yes,Центральный федеральный округ,Ярославль,57.6261,39.8742,YAR,совпало со справочником
